sepalLength	sepalWidth	petalLength	petalWidth	species
2	6.0	80088	468405	4
4	11.0	5482	62152	4
4	9.0	35134	330910	9
4	9.0	696210	6397440	9
5	7.0	68391	477104	6
4	7.0	73142	541425	6
4	5.0	98610	450104	6
4	5.0	345360	1632154	6
3	8.0	74521	590729	6
4	3.0	305999	989691	6
4	4.0	250147	984867	10
4	8.0	7773	60424	10
2	12.0	4076	48950	10
3	6.0	247309	1363554	5
4	4.0	577223	2221679	5
5	5.0	56132	273431	5
5	5.0	108125	494268	5
4	6.0	127123	739096	5
4	5.0	30185	145581	5
4	6.0	1207187	7162960	5
4	5.0	29670	140916	5
4	3.0	184721	543322	5
4	10.0	5687	54498	5
4	5.0	32155	162089	5
4	6.0	18296	103249	5
4	4.0	136173	602509	5
4	5.0	1135757	6241281	5
4	4.0	36000	142120	5
4	5.0	63188	299807	5
4	7.0	46135	313702	5
4	5.0	711662	3492597	5
5	7.0	211414	1479456	5
5	7.0	100553	730762	5
4	5.0	100542	467333	5
4	5.0	359292	1850821	5
5	5.0	45197	222563	5
4	5.0	90786	446869	5
4	5.0	400312	2119885	5
5	7.0	233692	1532784	5
4	3.0	1579337	5302980	5
4	5.0	147110	774511	6
4	6.0	14742	87913	6
4	5.0	192479	981253	6
4	6.0	238040	1399695	6
4	5.0	100973	504117	4
2	5.0	84161	456302	4
4	7.0	16380	115725	4
3	4.0	361991	1380995	4
5	6.0	48028	271883	4
4	8.0	23689	197901	4
3	5.0	417326	1979537	4
4	5.0	54642	275909	4
4	6.0	57852	319664	4
4	7.0	54419	404031	7
3	5.0	40939	202572	7
4	4.0	296483	1068907	7
4	5.0	209266	1088462	7
4	5.0	180096	844533	7
2	12.0	5443	64649	7
4	6.0	62551	344789	7
4	4.0	597705	2577370	7
5	7.0	149637	1001630	7
4	6.0	178528	1086651	7
2	6.0	4434	26828	7
4	4.0	19624	85416	7
3	17.0	4206	70993	7
4	8.0	93300	774106	1
4	6.0	556865	3433596	1
4	8.0	719126	5725702	1
4	6.0	127005	733512	1
5	5.0	7416	33501	1
5	6.0	96724	621348	1
4	7.0	76613	544465	1
4	7.0	839232	5920665	1
3	10.0	7571	77587	1
4	3.0	138216	442267	1
4	11.0	5745	63254	1
4	5.0	667139	3203839	1
4	8.0	32428	254453	1
3	9.0	26873	253481	1
4	7.0	135148	922607	3
4	7.0	584284	3834530	3
4	44.0	79813	3504155	11
3	1.0	899892	1269278	3
4	89.0	16820	1504247	11
4	108.0	22308	2417820	11
4	7.0	810	5747	11
4	60.0	109768	6614209	11
4	45.0	12211	545063	11
4	2.0	317700	544206	11
4	3.0	388500	1267160	11
4	0.0	567580	69805	11
4	6.0	19500	112947	11
4	3.0	127712	440581	11
4	82.0	19835	1625686	11
4	131.0	72808	9510268	11
4	4.0	571344	2267508	11
4	2.0	132822	289347	11
4	3.0	136174	373716	11
4	2.0	353000	691281	11
4	3.0	214334	616921	11
4	7.0	72000	470645	11
4	5.0	421089	2286093	3
4	5.0	106312	517524	11
4	5.0	116250	597469	1
4	7.0	19009	136581	1
1	5.0	8290	40614	1
4	6.0	127173	824995	1
4			596777	1
2	9.0	6365	57157	1
3	5.0	9025	44963	1
3	5.0	9409	49581	1
2	3.0	4198	11184	1
5	0.0	1907	209	1
1	2.0	3275	5023	1
4	3.0	3702	9910	1
5	3.0	6262	21590	1
3	10.0	20541	201001	1
5	5.0	603999	3263716	5
2	5.0	62777	336759	5
2	5.0	64722	307454	5
4	6.0	101857	622730	5
5	7.0	43501	317234	5
2	7.0	71004	470605	5
4	6.0	944513	5967046	5
4	5.0	182435	980312	5
3	10.0	13441	138521	5
4	11.0	23671	254849	5
4	4.0	221635	986904	5
4	4.0	104189	408633	5
4	5.0	214800	972971	5
4	4.0	35358	139630	5
5	4.0	19834	76972	5
4	4.0	36303	147167	5
4	4.0	32463	131516	5
4	15.0	16795	245714	5
4	9.0	40473	375179	5
3	1.0	49616	42451	5
4	6.0	125885	702616	5
4	3.0	143197	456299	5
2	8.0	41846	342133	5
4	9.0	22035	206192	5
4	4.0	570172	2337957	5
4	5.0	342289	1803794	5
4	6.0	474100	3067285	5
5	86.0	6750	581125	6
4	4.0	406567	1563360	6
4	5.0	545146	2664705	6
4	4.0	954644	4173886	6
4	4.0	1004787	4036735	6
4	6.0	1061293	6370069	6
4	4.0	193055	865607	6
5	5.0	138548	732619	6
4	3.0	260524	691906	6
2	3.0	11026	31994	6
5	1.0	13914	17197	6
4	2.0	1060933	2199038	6
3	2.0	10348	21511	6
4	3.0	17902	50813	6
3	1.0	1015363	1061529	6
4	2.0	303959	628183	6
4	2.0	377024	933725	6
4	11.0	28193	306941	6
3	3.0	13749	47703	6
3	1.0	241351	241453	6
4	2.0	13814	33458	6
4	2.0	333517	804076	6
4	3.0	17650	49597	6
4	3.0	16185	46510	6
2	3.0	372982	1190268	6
3	3.0	18411	57173	6
3	3.0	17230	50063	6
4	3.0	139938	483525	6
4	7.0	161929	1177274	4
4	4.0	391877	1596406	4
4	3.0	33569	90783	4
3	6.0	59363	327646	4
3	7.0	68200	488632	4
3	7.0	58889	412165	4
4	4.0	370031	1480281	4
3	5.0	73336	382876	8
4	5.0	129921	691321	8
4	17.0	11135	184051	8
3	5.0	240520	1265639	4
4	4.0	93883	401681	4
5	7.0	36720	252553	4
3	8.0	12766	97651	4
3	5.0	78375	401151	4
3	6.0	56972	326379	4
3	5.0	31420	144714	4
3	5.0	36524	182383	4
3	3.0	324013	1016745	4
2	6.0	226363	1415640	4
4	5.0	37637	175794	8
4	5.0	92610	492866	8
4	5.0	40173	203423	8
3	6.0	39256	219498	8
4	15.0	14939	225489	8
4	6.0	11105	71632	8
4	7.0	139810	1030448	8
5	6.0	9716	56792	8
4	3.0	270884	768762	8
4	4.0	95576	348542	8
2	18.0	4944	87789	8
2	12.0	1426	17694	8
3	5.0	10479	50025	8
4	4.0	27375	108540	6
4	5.0	286610	1493115	6
4	5.0	356791	1705694	6
4	5.0	71507	358994	6
4	5.0	376156	1709797	6
4	6.0	109602	667648	1
3	9.0	4581	42443	1
4	6.0	86056	520601	1
4	5.0	104022	572103	1
4	10.0	102260	1033906	1
5	4.0	87861	344516	3
4	8.0	137739	1147893	2
5	4.0	163375	687800	3
2	9.0	444825	3999837	2
4	8.0	11553	86687	3
4	7.0	308475	2117476	2
3	11.0	53663	593177	2
4	6.0	123370	682886	3
3	5.0	147258	789517	3
4	6.0	42056	266495	7
4	5.0	310862	1448845	7
4	4.0	56173	244083	7
3	7.0	68763	462813	7
5	5.0	57547	259906	7
4	6.0	257711	1486265	7
5	5.0	183124	973371	7
5	6.0	65077	394881	7
2	3.0	76682	206028	7
3	5.0	5308	26688	7
5	5.0	20638	103437	7
4	4.0	116849	501160	9
4	5.0	196077	908263	9
4	8.0	47249	363752	9
4	6.0	171312	1037057	9
4	6.0	368969	2060841	9
4	3.0	198339	689088	2
3	5.0	75074	380061	2
4	10.0	921306	8866642	2
4	8.0	382085	3203016	2
3	4.0	87767	389083	2
4	8.0	497749	4030775	2
4	10.0	294394	2995734	2
3	5.0	294083	1523991	2
4	9.0	2420272	22471797	2
4	3.0	197851	650428	2
4	6.0	235373	1423558	2
3	10.0	133800	1279060	2
4	0.0	805119	49925	2
4	11.0	769122	8815427	2
4	11.0	754428	8535676	2
4	12.0	655527	7686251	2
4	10.0	126451	1277836	2
4	6.0	231833	1495773	2
2	0.0	550731	8608	2
3	2.0	3078	5090	2
3	16.0	80795	1297879	2
4	15.0	9105	135945	2
4	8.0	484495	4033754	2
4	5.0	437718	2016555	5
4	5.0	183175	925614	5
4	4.0	214440	912036	5
5	12.0	5934	68949	5
4	6.0	80844	450595	5
4	3.0	689771	2150706	5
3	6.0	1199328	7151440	5
4	5.0	186137	1006943	5
4	5.0	151686	821005	5
4	4.0	228555	904223	5
5	6.0	33290	198220	5
4	4.0	605754	2523132	5
4	6.0	44476	259541	5
5	6.0	22073	124968	7
4	4.0	121342	433123	7
4	4.0	199632	895557	7
4	8.0	116904	965523	7
5	4.0	269459	1191220	7
2	3.0	24439	78639	7
4	6.0	167254	923657	7
4	5.0	162010	784548	10
3	8.0	43333	344285	10
4	5.0	247265	1205437	10
4	4.0	372461	1419222	10
4	5.0	44694	208161	10
4	5.0	98511	513560	10
4	4.0	451482	1945505	10
4	4.0	237285	1026784	10
4	11.0	3493	39963	10
4	4.0	50036	184500	3
4			1480206	3
4	5.0	435830	2053722	3
4	4.0	703986	2893164	3
4	5.0	74775	378030	3
4	4.0	9464	41459	3
3	6.0	218346	1263548	3
4	9.0	7963	70530	3
4	5.0	713506	3490158	3
3	4.0	738524	2744767	3
4	7.0	11460	77915	3
4	5.0	76594	400469	3
4	5.0	53450	257958	3
2	5.0	28892	137193	3
5	14.0	93095	1280908	2
